1344011706725519361 2020-12-30 04:05:36 +0800 <wMNhyaRVsIOCywu> @GKesarios τα συλλυπητηρια μου να ζησετε για να την θυμαστε.
1343787495318700033 2020-12-29 13:14:39 +0800 <wMNhyaRVsIOCywu> ΠΕΡΙ ΕΝΩΣΕΩΣ ΤΟΥ "ΧΩΡΟΥ"  https://t.co/a6Eu1pWYp6 μέσω @korina13
1328217962873032704 2020-11-16 14:06:54 +0800 <wMNhyaRVsIOCywu> Το Πραγματικό Πολυτεχνείο -  https://t.co/j3DIn3lPaL  https://t.co/kHb9ZsP2C2
1328217299971608576 2020-11-16 14:04:16 +0800 <wMNhyaRVsIOCywu> 14 Νοεμβρίου 1821: Το ολοκαύτωμα της Κασσάνδρας -  https://t.co/j3DIn3lPaL  https://t.co/VH1d3SWeY9
1328216073162911746 2020-11-16 13:59:23 +0800 <wMNhyaRVsIOCywu> Η ηρωική δασκάλα του Σκρά που μαρτύρησε για την Ελλάδα στα χέρια των συμμοριτών -  https://t.co/j3DIn3lPaL  https://t.co/DAlvv7CDzA
1328214878264451072 2020-11-16 13:54:38 +0800 <wMNhyaRVsIOCywu> Μία απαγόρευση της ΕΛ.ΑΣ. και η Ένωση Εισαγγελέων που θυμήθηκε το Σύνταγμα... -  https://t.co/j3DIn3lPaL  https://t.co/b6JtDR8S58
1327846838788124672 2020-11-15 13:32:11 +0800 <wMNhyaRVsIOCywu> Γ. ΤΡΑΓΚΑΣ: Η ΧΩΡΑ ΚΑΤΑΣΤΡΕΦΕΤΑΙ ΚΑΙ ΙΣΟΠΕΔΩΝΕΤΑΙ ΒΑΣΕΙ ΣΧΕΔΙΟΥ ΤΟΥ ΔΩΣΙΛΟΓΟΥ ΜΗΤΣΟΤΑΚΗ ΚΑΙ ΤΟΥ ΒΕΡΟΛΙΝΟΥ!  https://t.co/jZcxtfThuO μέσω @korina13
1327841946879004673 2020-11-15 13:12:44 +0800 <wMNhyaRVsIOCywu> Η ΩΡΑ ΤΗΣ ΚΡΙΣΗΣ ΚΑΙ ΤΗΣ ΔΙΚΑΙΩΣΗΣ  https://t.co/par8VeIwwr μέσω @korina13
1327833457939132418 2020-11-15 12:39:00 +0800 <wMNhyaRVsIOCywu> Του Ν.Γ. Μιχαλολιάκου:ΓΕΩΠΟΛΙΤΙΚΗ -  https://t.co/j3DIn3lPaL  https://t.co/vecPLQ1RoA
1327831908844232705 2020-11-15 12:32:51 +0800 <wMNhyaRVsIOCywu> ΣΥΝΕΡΓΑΣΙΕΣ ΑΝΑΓΝΩΣΤΩΝ: ΔΙΕΘΝΕΙΣ ΕΞΕΛΙΞΕΙΣ ΚΑΙ ΕΛΛΑΔΑ -  https://t.co/j3DIn3lPaL  https://t.co/7tGsvvZtHf
1327504791967309825 2020-11-14 14:53:00 +0800 <wMNhyaRVsIOCywu> Γ. ΤΡΑΓΚΑΣ: Ο ΗΜΙΠΑΡΑΦΡΟΝΑΣ ΜΗΤΣΟΤΑΚΗΣ ΘΑ ΦΥΓΕΙ ΝΥΧΤΑ ΜΕ ΠΕΡΟΥΚΑ ΚΑΙ ΕΛΙΚΟΠΤΕΡΟ!  https://t.co/QhXRXutdXI μέσω @korina13
1327469894145806337 2020-11-14 12:34:20 +0800 <wMNhyaRVsIOCywu> Ν.Γ.ΜΙΧΑΛΟΛΙΑΚΟΣ: «ΠAIZOYN ΜΕ ΤΗΝ ΦΩΤΙΑ» ΟΙ ΠΑΓΚΟΣΜΙΟΙ ΤΟΚΟΓΛΥΦΟΙ -  https://t.co/j3DIn3lPaL  https://t.co/CyxcMUqBAR
1327467813011935232 2020-11-14 12:26:04 +0800 <wMNhyaRVsIOCywu> Η Μάχη της Ισσού - Ο θρίαμβος του Μεγάλου Αλεξάνδρου επί του Δαρείου -  https://t.co/j3DIn3lPaL  https://t.co/Md2hSicjOB
1327466753031622656 2020-11-14 12:21:51 +0800 <wMNhyaRVsIOCywu> Η αυτογνωσία του Εθνικιστή -  https://t.co/j3DIn3lPaL  https://t.co/ADBOoeah8G
1327465494329372673 2020-11-14 12:16:51 +0800 <wMNhyaRVsIOCywu> Η συγκέντρωση των 20.000 ατόμων έξω από το Εφετείο, μπορεί να γίνει ο τάφος μας! -  https://t.co/j3DIn3lPaL  https://t.co/ERiCHqaw3l
1327268497030836228 2020-11-13 23:14:03 +0800 <wMNhyaRVsIOCywu> Εκπομπή Εθνικιστικής Φωνής (11/11/2020)  https://t.co/NiCwZSA13t μέσω @YouTube
1327103783088877568 2020-11-13 12:19:32 +0800 <wMNhyaRVsIOCywu> Ο ΝΕΟΣ ΚΑΙ ΑΝΑΓΕΝΝΗΜΕΝΟΣ ΕΛΛΗΝΟΡΘΟΔΟΞΟΣ ΕΘΝΙΚΙΣΜΟΣ ΜΑΣ  https://t.co/8IRqZXC0Kr μέσω @korina13
1327095845649526785 2020-11-13 11:48:00 +0800 <wMNhyaRVsIOCywu> Αρχαία Ελλάς Και Φυλή – Του Ν.Γ. ΜΙΧΑΛΟΛΙΑΚΟΥ -  https://t.co/j3DIn3lPaL  https://t.co/0BWzTHxfHz
1327093607564767232 2020-11-13 11:39:06 +0800 <wMNhyaRVsIOCywu> Πανδημία COVID και στατιστική -  https://t.co/j3DIn3lPaL  https://t.co/4MCQYsHCXa
1327092111863328768 2020-11-13 11:33:10 +0800 <wMNhyaRVsIOCywu> Ο Ιός των Αμερικανικών εκλογών! -  https://t.co/j3DIn3lPaL  https://t.co/DmrOhMUD3z
1326737174071566336 2020-11-12 12:02:46 +0800 <wMNhyaRVsIOCywu> Αφιερωμένο σε όσους νιώθουν ότι δεν ανήκουν στην σύγχρονη κοινωνία  https://t.co/psVT7t9vbd μέσω @korina13
1326723242304954368 2020-11-12 11:07:24 +0800 <wMNhyaRVsIOCywu> Νοέμβριος 2014: Μία τουρκική κορβέτα στις Κυκλάδες και ένα προτεκτοράτο – Το μήνυμα του Ν. Γ. Μιχαλολιάκου -  https://t.co/j3DIn3lPaL  https://t.co/CWvCx5O2ch
1326722371085070336 2020-11-12 11:03:57 +0800 <wMNhyaRVsIOCywu> 11 Νοεμβρίου 1912: Η απελευθέρωση της Καστοριάς -  https://t.co/j3DIn3lPaL  https://t.co/CvaycIpu4R
1326721718384291840 2020-11-12 11:01:21 +0800 <wMNhyaRVsIOCywu> Η απελευθέρωση της Χίου - 11 Νοεμβρίου 1912 -  https://t.co/j3DIn3lPaL  https://t.co/Ze6kqcfNhp
1326721019877466114 2020-11-12 10:58:35 +0800 <wMNhyaRVsIOCywu> Όταν ο υπουργός παθαίνει κρίση ειλικρίνειας -  https://t.co/j3DIn3lPaL  https://t.co/r6uQOZaQtm
1326720357492027393 2020-11-12 10:55:57 +0800 <wMNhyaRVsIOCywu> Επιστολή Συναγωνιστή Α. Ματθαιόπουλου μέσα από τις φυλακές προς το Εθνικιστικό Κίνημα της Πολωνίας -  https://t.co/j3DIn3lPaL  https://t.co/n0L1cmZ6Sk
1326377270215315457 2020-11-11 12:12:38 +0800 <wMNhyaRVsIOCywu> ΝΕΚΡΟΙ ΜΕ ΚΟΒΙΝΤ ΔΕΝ ΕΙΝΑΙ ΝΕΚΡΟΙ ΑΠΟ ΚΟΒΙΝΤ!  https://t.co/z4bDtdsQBz μέσω @korina13
1326371853598855170 2020-11-11 11:51:07 +0800 <wMNhyaRVsIOCywu> Εμείς οι Χρυσαυγίτες και η Πατρίδα των ονείρων μας - Άρθρο του Ν. Γ. Μιχαλολιάκου -  https://t.co/j3DIn3lPaL  https://t.co/ZfhwZkr0Mr
1326370716049174529 2020-11-11 11:46:36 +0800 <wMNhyaRVsIOCywu> Ο διχαστικός λόγος στην πολιτική -  https://t.co/j3DIn3lPaL  https://t.co/uDiUnKI7ZT
1326369750751072256 2020-11-11 11:42:45 +0800 <wMNhyaRVsIOCywu> Αφιερωμένο σε όσους νιώθουν ότι δεν ανήκουν στην σύγχρονη κοινωνία -  https://t.co/j3DIn3lPaL  https://t.co/5hO75VRfyn
1326031331130806272 2020-11-10 13:18:00 +0800 <wMNhyaRVsIOCywu> ΜΝΗΜΗ ΑΓΙΟΥ ΝΕΚΤΑΡΙΟΥ  https://t.co/gagb5BRB5v μέσω @korina13
1326030956889829381 2020-11-10 13:16:31 +0800 <wMNhyaRVsIOCywu> ΜΙΑ ΕΙΚΟΝΑ – ΧΙΛΙΕΣ ΛΕΞΕΙΣ! ΓΙΑΤΙ ΧΑΙΡΕΤΑΙ Ο ΣΟΡΟΣ ΚΑΙ ΧΑΜΟΓΕΛΑΕΙ ΠΑΤΕΡΑ;  https://t.co/S6PJNo7Tht μέσω @korina13
1326030767235985408 2020-11-10 13:15:46 +0800 <wMNhyaRVsIOCywu> ΔΕΝ ΕΧΕΙ ΑΛΛΑΞΕΙ ΤΙΠΟΤΑ ΩΣ ΠΡΟΣ ΤΗΝ ΘΝΗΣΙΜΟΤΗΤΑ ΑΠΟ ΤΟΝ ΙΟ! ΥΠΕΡΗΛΙΚΕΣ ΜΕ «ΥΠΟΚΕΙΜΕΝΑ ΝΟΣΗΜΑΤΑ» ΤΟ 96,4% ΤΩΝ ΘΑΝΟΝΤΩΝ!   https://t.co/pniu37RKsk μέσω @korina13
1326030514420150274 2020-11-10 13:14:45 +0800 <wMNhyaRVsIOCywu> ΣΕΒΑΣΜΟΣ ΣΤΗΝ… ΔΙΑΦΟΡΕΤΙΚΟΤΗΤΑ! ΤΑ… ΥΓΕΙΟΝΟΜΙΚΑ ΠΡΩΤΟΚΟΛΛΑ ΤΗΣ ΧΟΥΝΤΑΣ ΠΡΟΒΛΕΠΟΥΝ ΕΙΔΙΚΗ ΑΝΤΙΜΕΤΩΠΙΣΗ ΓΙΑ ΤΟΥΣ «ΕΥΠΑΘΕΙΣ» ΚΙ ΟΧΙ ΠΡΟΣΤΙΜΑ!  https://t.co/GzuoAipaGh μέσω @korina13
1326030154838265857 2020-11-10 13:13:20 +0800 <wMNhyaRVsIOCywu> ΑΛΗΘΕΙΑ, ΓΙΑΤΙ Ο «ΑΝΘΡΩΠΟΣ ΤΟΥ ΠΟΥΤΙΝ ΣΤΗΝ ΕΛΛΑΔΑ» ΔΕ ΛΕΕΙ ΛΕΞΗ ΓΙΑ ΤΟ ΡΩΣΣΙΚΟ ΕΜΒΟΛΙΟ;  https://t.co/ho6eo5MbvA μέσω @korina13
1326029860142198790 2020-11-10 13:12:09 +0800 <wMNhyaRVsIOCywu> ΞΑΝΑΠΙΑΣΑΝ «ΔΟΥΛΕΙΑ» ΟΙ ΡΟΥΦΙΑΝΟΙ! ΑΝΑΚΑΛΥΨΑΝ ΑΝΟΙΧΤΗ ΕΚΚΛΗΣΙΑ ΚΑΙ… ΣΥΝΩΣΤΙΣΜΟ ΣΤΗΝ ΝΕΑ ΣΜΥΡΝΗ! ΣΤΟ ΤΖΑΜΙ ΔΕΝ ΕΙΔΑΝ ΤΙΠΟΤΑ!  https://t.co/HxrtYCk5zU μέσω @korina13
1326028361202868224 2020-11-10 13:06:12 +0800 <wMNhyaRVsIOCywu> ΜΗΤΣΟΤΑΚΙΣΤΑΝ, ΤΟ ΤΕΛΕΥΤΑΙΟ ΣΟΒΙΕΤ ΤΗΣ ΕΥΡΩΠΗΣ!  https://t.co/paEnXGEThA μέσω @korina13
1326020416050257921 2020-11-10 12:34:38 +0800 <wMNhyaRVsIOCywu> Έλληνες ή κοσμοπολίτες; Άρθρο του Ν. Γ. Μιχαλολιάκου -  https://t.co/j3DIn3lPaL  https://t.co/WcjIHuuGcR
1326018788576342016 2020-11-10 12:28:10 +0800 <wMNhyaRVsIOCywu> 31 χρόνια από το γκρέμισμα του "Τείχους του Αίσχους" - Ποτέ πια κομμουνισμός! -  https://t.co/j3DIn3lPaL  https://t.co/VUsOwfxKZw
1326018055357476864 2020-11-10 12:25:15 +0800 <wMNhyaRVsIOCywu> Ποιος νυν υπουργός της ΝΔ ρωτούσε κάποτε επιμόνως τα υπουργεία ποιοι και με τι μας... ψεκάζουν; -  https://t.co/j3DIn3lPaL  https://t.co/3YSpbykOre
1325657923738013696 2020-11-09 12:34:13 +0800 <wMNhyaRVsIOCywu> ΗΡΘΕ ΔΕΥΤΕΡΟΣ Ο ΖΑΒΟΥΛΙΑΚΑΣ ΜΗΤΣΟΤΑΚΗΣ ΣΤΑ ΣΥΧΑΡΙΚΙΑ ΠΡΟΣ ΤΟΝ ΜΠΑΙΝΤΕΝ. ΤΟΝ ΠΡΟΛΑΒΕ Ο ΠΡΩΘΥΠΟΥΡΓΟΣ ΤΩΝ… ΝΗΣΙΩΝ ΦΙΤΖΙ!  https://t.co/c5ZVJ57J3S μέσω @korina13
1325657553670377472 2020-11-09 12:32:44 +0800 <wMNhyaRVsIOCywu> ΓΙΑΤΙ Η ΚΥΒΕΡΝΗΣΗ ΔΕΝ ΕΠΙΒΑΛΛΕΙ ΜΕΙΩΣΗ ΤΙΜΩΝ ΣΤΟ ΚΑΡΤΕΛ ΤΩΝ ΣΟΥΠΕΡ ΜΑΡΚΕΤ; ΚΑΙ ΓΙΑΤΙ ΔΕ ΛΕΝΕ ΛΕΞΗ ΕΠ’ ΑΥΤΟΥ ΤΑ ΚΟΜΜΑΤΑ ΤΗΣ «ΑΝΤΙΠΟΛΙΤΕΥΣΗΣ»;  https://t.co/Ro7OZkdRr0 μέσω @korina13
1325657183154024449 2020-11-09 12:31:16 +0800 <wMNhyaRVsIOCywu> ΑΝΑΚΟΥΦΙΣΗ ΣΤΟ ΝΤΟΠΙΟ ΚΑΤΕΣΤΗΜΕΝΟ ΓΙΑ ΤΗΝ -ΚΑΛΠΙΚΗ!- ΕΚΛΟΓΗ ΤΟΥ ΜΕΓΑΛΟΥ ΑΦΕΝΤΙΚΟΥ ΤΟΥΣ!  https://t.co/Ju9rPiDGVc μέσω @korina13
1325656841091747840 2020-11-09 12:29:55 +0800 <wMNhyaRVsIOCywu> ΓΙΑ ΤΑ «ΡΟΜΑ» ΔΕΝ ΙΣΧΥΟΥΝ ΤΑ… ΥΓΕΙΟΝΟΜΙΚΑ ΠΡΩΤΟΚΟΛΛΑ! ΜΕ ΠΕΤΡΕΣ ΚΑΙ ΚΑΡΕΚΛΕΣ ΥΠΟΔΕΧΤΗΚΑΝ ΑΣΤΥΝΟΜΙΚΟΥΣ ΠΟΥ ΠΗΓΑΝ ΝΑ ΤΟΥΣ ΕΛΕΓΞΟΥΝ!   https://t.co/69oDYVwTpj μέσω @korina13
1325656534454587392 2020-11-09 12:28:41 +0800 <wMNhyaRVsIOCywu> ΓΙΑΤΙ ΑΡΑΓΕ ΚΑΝΕΝΑΣ ΑΛΗΤΗΣ-ΡΟΥΦΙΑΝΟΣ-ΔΗΜΟΣΙΟΓΡΑΦΟΣ ΔΕ ΡΩΤΑΕΙ ΓΙΑ ΤΟ ΡΩΣΣΙΚΟ ΕΜΒΟΛΙΟ;  https://t.co/kCXQXc8Oeu μέσω @korina13
1325645762152312832 2020-11-09 11:45:53 +0800 <wMNhyaRVsIOCywu> Τα εγκλήματα του μπολσεβικισμού και η ένοχη σιωπή της “δημοκρατίας” - Άρθρο του Ν. Γ. Μιχαλολιάκου -  https://t.co/j3DIn3lPaL  https://t.co/BZXMu9E3aG
1325644131973160966 2020-11-09 11:39:24 +0800 <wMNhyaRVsIOCywu> Αρχάγγελοι Μιχαήλ και Γαβριήλ, οι Προστάτες της Πολεμικής μας Αεροπορίας -  https://t.co/j3DIn3lPaL  https://t.co/kMstIiRJ1D
1325643258282782720 2020-11-09 11:35:56 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα το Ολοκαύτωμα της Μονής Αρκαδίου -  https://t.co/j3DIn3lPaL  https://t.co/67sjb09ta6
1325642661307486213 2020-11-09 11:33:34 +0800 <wMNhyaRVsIOCywu> Λευτεριά στην φυλακισμένη Ελλάδα μας -  https://t.co/j3DIn3lPaL  https://t.co/BftkSibjbt
1325641158995939328 2020-11-09 11:27:36 +0800 <wMNhyaRVsIOCywu> Δείξε αλληλεγγύη ρε ψεκασμένε! -  https://t.co/j3DIn3lPaL  https://t.co/DuFRaZj3KZ
1325640678177640451 2020-11-09 11:25:41 +0800 <wMNhyaRVsIOCywu> Ξανακλείνουν τις εκκλησίες! Καμία απαγόρευση για τα τζαμιά! -  https://t.co/j3DIn3lPaL  https://t.co/DPZVFzdG6W
1325409437281103877 2020-11-08 20:06:49 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα 8 Νοεμβρίου 2013: Μάχεται σθεναρά για την ζωή του ο Συναγωνιστής Αλέξανδρος Γέροντας -  https://t.co/j3DIn3lPaL  https://t.co/IuypAtXFzm
1325408996338135040 2020-11-08 20:05:04 +0800 <wMNhyaRVsIOCywu> Ο "Κόκκινος Οκτώβρης" αποκαλύπτεται -  https://t.co/j3DIn3lPaL  https://t.co/9lgKowpnpC
1325406561611751425 2020-11-08 19:55:23 +0800 <wMNhyaRVsIOCywu> Γιατί είμαστε καταδικασμένοι να πετύχουμε -  https://t.co/j3DIn3lPaL  https://t.co/xE4Aro0jeg
1325405947972481024 2020-11-08 19:52:57 +0800 <wMNhyaRVsIOCywu> Η προαναγγελία πραξικοπήματος στις ΗΠΑ από τον Μπάιντεν και η απόλυτη δικαίωση ενός "συνωμοσιολογικού" σκίτσου! -  https://t.co/j3DIn3lPaL  https://t.co/5A4tCFJjTv
1325405306659213312 2020-11-08 19:50:24 +0800 <wMNhyaRVsIOCywu> Ένας ηττημένος λαός -  https://t.co/j3DIn3lPaL  https://t.co/ywDDLLGhYx
1324963067252314113 2020-11-07 14:33:06 +0800 <wMNhyaRVsIOCywu> LOCKDOWN ΜΕΧΡΙ ΤΟ ΠΑΣΧΑ ΚΑΙ ΒΑΛΕ! ΠΕΤΣΑΣ: ΘΑ ΣΑΣ ΚΡΑΤΗΣΟΥΜΕ ΜΕΣΑ ΜΕΧΡΙ ΠΟΥ ΝΑ ΦΤΑΣΟΥΜΕ ΤΑ 300 ΚΡΟΥΣΜΑΤΑ ΗΜΕΡΗΣΙΩΣ!  https://t.co/P0czZXMiLD μέσω @korina13
1324961906428350464 2020-11-07 14:28:29 +0800 <wMNhyaRVsIOCywu> ΠΑΝΩ ΑΠ’ ΟΛΑ Η ΠΟΙΟΤΗΣ! ΟΙ… «ΑΡΙΣΤΟΙ» ΤΟΥ ΜΗΤΣΟΤΑΚΗ ΜΑΣ ΕΞΑΣΦΑΛΙΖΟΥΝ ΜΙΑ ΠΟΙΟΤΙΚΗ ΜΕΤΑΒΑΣΗ ΠΡΟΣ ΤΟΝ… ΘΑΝΑΤΟ! (ΒΙΝΤΕΟ)  https://t.co/jTDJ6p9ZXc μέσω @korina13
1324961685975740416 2020-11-07 14:27:37 +0800 <wMNhyaRVsIOCywu> Γ. ΤΡΑΓΚΑΣ: ΜΗΤΣΟΤΑΚΗΣ ΚΑΙ ΤΣΙΟΔΡΑΣ ΜΑΣ ΟΔΗΓΟΥΝ ΣΕ ΟΙΚΟΝΟΜΙΚΟ ΑΦΑΝΙΣΜΟ!  https://t.co/Cu6OfIaQaL μέσω @korina13
1324958624200994817 2020-11-07 14:15:27 +0800 <wMNhyaRVsIOCywu> ΕΠΑΝΕΚΚΙΝΗΣΗ ΕΛΛΗΝΙΚΟΥ ΕΘΝΙΚΙΣΜΟΥ ΓΙΑ ΤΗΝ ΛΕΥΤΕΡΙΑ ΤΗΣ ΕΛΛΑΔΟΣ  https://t.co/WPapZULo40 μέσω @korina13
1324957357697339392 2020-11-07 14:10:25 +0800 <wMNhyaRVsIOCywu> ΣΤΑΜΑΤΗΣ ΓΟΝΙΔΗΣ: ΤΟ ΝΕΟ LOCKDOWN ΕΧΕΙ ΣΧΕΔΙΑΣΤΕΙ ΑΠΟ ΤΟΥΣ ΓΕΡΜΑΝΟΔΟΥΛΟΥΣ ΜΗΤΣΟΤΑΚΗΔΕΣ ΓΙΑ ΝΑ ΠΟΥΛΗΘΕΙ Η ΧΩΡΑ ΚΑΙ ΟΙ ΙΔΙΩΤΙΚΕΣ ΠΕΡΙΟΥΣΙΕΣ!  https://t.co/KSDFDRfdcv μέσω @korina13
1324925417543913472 2020-11-07 12:03:30 +0800 <wMNhyaRVsIOCywu> Ελλάς και Γεωπολιτική: Μια “στρατηγική” αντίληψη υποταγής - Άρθρο του Ν. Γ. Μιχαλολιάκου -  https://t.co/j3DIn3lPaL  https://t.co/rGFtpfLDrR
1324924384335831041 2020-11-07 11:59:23 +0800 <wMNhyaRVsIOCywu> ΟΣΒΑΛΝΤ ΣΠΕΝΓΚΛΕΡ: “Ο Ορθολογισμός είναι η αλαζονεία του αστού διανοούμενου” -  https://t.co/j3DIn3lPaL  https://t.co/Ue14NlZWKi
1324923770616885248 2020-11-07 11:56:57 +0800 <wMNhyaRVsIOCywu> Lockdown μέχρι το Πάσχα και βάλε! Πέτσας: Θα σας κρατήσουμε μέσα μέχρι που να φτάσουμε τα 300 κρούσματα ημερησίως! -  https://t.co/j3DIn3lPaL  https://t.co/X1tlNhiF8W
1324923380844425216 2020-11-07 11:55:24 +0800 <wMNhyaRVsIOCywu> Γιατί το "κόμμα του Πούτιν" δεν λέει λέξη για το ρωσσικό εμβόλιο; -  https://t.co/j3DIn3lPaL  https://t.co/Ti2TyuSFBY
1324922910021197825 2020-11-07 11:53:32 +0800 <wMNhyaRVsIOCywu> Πόσες γυναίκες πρέπει να θρηνήσουμε μέχρι να κλείσουν τα σύνορα; -  https://t.co/j3DIn3lPaL  https://t.co/TBsJScJUGY
1324922169407713280 2020-11-07 11:50:35 +0800 <wMNhyaRVsIOCywu> Ποιότητα πάνω απ' όλα! Οι "άριστοι" του Μητσοτάκη μας εξασφαλίζουν μια ποιοτική μετάβαση προς τον... θάνατο! -  https://t.co/j3DIn3lPaL  https://t.co/hsFKgZLWZa
1324921671258607616 2020-11-07 11:48:36 +0800 <wMNhyaRVsIOCywu> Έξι ή εφτά μήνες θα διαρκέσει το νέο lockdown, αν δεν ξεσηκωθεί ο λαός! Μέχρι Μάιο ή Ιούνιο! -  https://t.co/j3DIn3lPaL  https://t.co/XenaRTjhYS
1324607475459493889 2020-11-06 15:00:06 +0800 <wMNhyaRVsIOCywu> 4 ΝΟΕΜΒΡΙΟΥ 1918: ΠΟΙΟΙ ΙΔΡΥΣΑΝ ΤΟ ΣΕΚΕ (ΤΟ ΜΕΤΕΠΕΙΤΑ ΚΚE);  https://t.co/MCFjt3sBrS μέσω @korina13
1324606993248694272 2020-11-06 14:58:11 +0800 <wMNhyaRVsIOCywu> ΟΥΑΟΥ! ΕΚΔΗΛΩΘΗΚΕ ΚΑΙ ΤΟ… ΤΙΜΗΜΕΝΟ ΚΟΥΚΟΥΕ ΥΠΕΡ ΤΟΥ ΜΠΑΙΝΤΕΝ!  https://t.co/VvpqL7tgHm μέσω @korina13
1324606750352396288 2020-11-06 14:57:13 +0800 <wMNhyaRVsIOCywu> ΜΑΓΟΙ ΔΕΝ ΕΙΜΑΣΤΕ, ΑΛΛΑ ΠΡΟΒΛΕΨΑΜΕ ΤΟ ΝΕΟ LOCKDOWN ΤΟΥ ΦΘΙΝΟΠΩΡΟΥ ΑΠΟ ΤΟΝ… ΙΟΥΝΙΟ!  https://t.co/ERLCELh3D0 μέσω @korina13
1324605574437285888 2020-11-06 14:52:33 +0800 <wMNhyaRVsIOCywu> Γ. ΤΡΑΓΚΑΣ: Ο «ΓΕΡΜΑΝΟΣ» ΤΟΥ ΜΑΞΙΜΟΥ ΒΑΖΕΙ ΤΗΝ ΕΛΛΑΔΑ ΣΤΗ ΖΩΝΗ ΤΟΥ ΛΥΚΟΦΩΤΟΣ ΜΕ ΤΟ ΔΕΥΤΕΡΟ LOCKDOWN  https://t.co/71L3mbaFnB μέσω @korina13
1324568729523572736 2020-11-06 12:26:09 +0800 <wMNhyaRVsIOCywu> Ελλάς και Γεωπολιτική - Άρθρο του Ν. Γ. Μιχαλολιάκου -  https://t.co/j3DIn3lPaL  https://t.co/SAS0IcOaQM
1324567645555888128 2020-11-06 12:21:50 +0800 <wMNhyaRVsIOCywu> Η διαχρονική ελληνικότητα της Χειμάρρας και η απελευθέρωσή της στις 5 Νοεμβρίου του 1912 -  https://t.co/j3DIn34dMb  https://t.co/Rz2xTcJ6Uc
1324565929930510336 2020-11-06 12:15:01 +0800 <wMNhyaRVsIOCywu> Η έλλειψη στρατηγικής για την επιδημία οδηγεί σε καταστροφικά lockdown -  https://t.co/j3DIn3lPaL  https://t.co/UN0A4Jm4GS
1324565344644669441 2020-11-06 12:12:42 +0800 <wMNhyaRVsIOCywu> Καραντίνα σε… δόσεις ανακοίνωσε ο Μητσοτάκης -  https://t.co/j3DIn3lPaL  https://t.co/KG5bmXbzFw
1324565035440656384 2020-11-06 12:11:28 +0800 <wMNhyaRVsIOCywu> Ούτε στο τζαμί κολλάει! Κανένας μουσουλμάνος δεν φοράει μάσκα στο τζαμί της Αθήνας! -  https://t.co/j3DIn3lPaL  https://t.co/dLZW67AQBR
1324564707999731712 2020-11-06 12:10:10 +0800 <wMNhyaRVsIOCywu> Φάκελος δολοφονίας Γιώργου - Μάνου: Δεν ψάχνουν τους δολοφόνους γιατί τους ξέρουν! -  https://t.co/j3DIn3lPaL  https://t.co/NCtywFbXhY
1324564363047538688 2020-11-06 12:08:48 +0800 <wMNhyaRVsIOCywu> Τούρκοι πράκτορες αλωνίζουν στην Ελλάδα -  https://t.co/j3DIn3lPaL  https://t.co/OClEz5rk0B
1324564039104634880 2020-11-06 12:07:30 +0800 <wMNhyaRVsIOCywu> Ο Τσιόδρας, τα "τρία ελπιδοφόρα εμβόλια" και η συνεχιζόμενη σιωπή όλων για το ρωσσικό εμβόλιο! -  https://t.co/j3DIn3lPaL  https://t.co/UglkfItMYF
1324557604648046593 2020-11-06 11:41:56 +0800 <wMNhyaRVsIOCywu> ΠΟΥ: «60% των πολιτών της ΕΕ κατέρρευσαν ψυχολογικά από τα   https://t.co/CMEYyBZZ7D
1324370073155502080 2020-11-05 23:16:45 +0800 <wMNhyaRVsIOCywu> Δείτε το πριν το κατεβάσουν !! Γ. Ιωαννίδης | ΣΟΚ «η θνητότητα από τον Κ...  https://t.co/qesCYM8k5s μέσω @YouTube
1324201060936880128 2020-11-05 12:05:10 +0800 <wMNhyaRVsIOCywu> ΓΙΑ ΝΑ ΜΗΝ ΞΕΧΝΙΟΜΑΣΤΕ: Ο ΜΠΟΥΜΠΟΥΚΟΣ ΚΑΙ ΤΟ ΤΖΑΜΙ  https://t.co/Bh6PIyM8dW μέσω @korina13
1324197372214333441 2020-11-05 11:50:30 +0800 <wMNhyaRVsIOCywu> ΣΤΑ ΔΗΜΟΣΙΑ ΣΧΟΛΕΙΑ ΚΟΛΛΑΕΙ, ΣΤΑ ΙΔΙΩΤΙΚΑ ΦΡΟΝΤΙΣΤΗΡΙΑ ΔΕΝ ΚΟΛΛΑΕΙ!   https://t.co/VoEgOMklLR μέσω @korina13
1324197171168727045 2020-11-05 11:49:42 +0800 <wMNhyaRVsIOCywu> ΞΕΦΤΙΛΙΣΤΗΚΑΝ ΟΙ ΕΤΑΙΡΕΣ «ΔΗΜΟΣΚΟΠΗΣΕΩΝ»! ΕΤΑΙΡΕΙΕΣ ΧΕΙΡΑΓΩΓΗΣΗΣ ΤΗΣ ΚΟΙΝΗΣ ΓΝΩΜΗΣ!  https://t.co/JSAmColNO4 μέσω @korina13
1324196901088948226 2020-11-05 11:48:38 +0800 <wMNhyaRVsIOCywu> Όλα κλειστά πλην συνόρων  https://t.co/PSq52k4aJd μέσω @korina13
