1344032819283075072 2020-12-30 05:29:29 +0800 <albertan48> Kelly Loeffler's conflict of interest is even worse than reported.  https://t.co/m5ULCoy1rY via @MotherJones
1326544147818242048 2020-11-11 23:15:45 +0800 <albertan48> (2) Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1326526464657743878 2020-11-11 22:05:29 +0800 <albertan48>  https://t.co/jWFjLNdDQX  https://t.co/jWFjLNdDQX
1326522317359378432 2020-11-11 21:49:00 +0800 <albertan48> (6) Jeffrey Lieber on Twitter: "If you wanna know what @Yamiche was asking about, here's Trump ADMITTING to cutting the Pandemic Response Team in 2018. #NastyQuestion  https://t.co/RW35utW6XO" / Twitter  https://t.co/aHQ90h7FWb
1326521954258415618 2020-11-11 21:47:34 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1326202418804092930 2020-11-11 00:37:50 +0800 <albertan48> Trump just doesn't have the muscle - Palmer Report  https://t.co/mSp2wN4hbP
1326201441619378178 2020-11-11 00:33:57 +0800 <albertan48> Palmer Report editorial note: how we intend to cover Donald Trump going forward  https://t.co/PV3lRvAfre via @PalmerReport
1326164326550364160 2020-11-10 22:06:29 +0800 <albertan48> Lawyers can't find the parents of 666 migrant kids, a higher number than previously reported  https://t.co/3H56qbgo7W
1326164065580838918 2020-11-10 22:05:26 +0800 <albertan48> The Number Of Separated Migrant Kids Has Grown To 666  https://t.co/YR8ajQOH27
1326163402243276801 2020-11-10 22:02:48 +0800 <albertan48> Trump's coup attempt is very real — but there are several gaping holes in the plan -  https://t.co/aYuARVqzMC  https://t.co/iEzNAC0z2F
1326159181955518465 2020-11-10 21:46:02 +0800 <albertan48>  https://t.co/wmqIHRWBlr
1326158617951662080 2020-11-10 21:43:48 +0800 <albertan48> More Than Politics On The Line For Voters With Preexisting Conditions  https://t.co/ElCrDi933q
1326157354375602176 2020-11-10 21:38:46 +0800 <albertan48> The Trump Administration Seems Dead Set on Screwing With Biden’s Transition | Vanity Fair  https://t.co/Hi8r6by5dU
1326155731565899778 2020-11-10 21:32:19 +0800 <albertan48> Trump Faces Criminal Investigation And Lawsuits As Soon As He Leaves Office  https://t.co/scQoCjQiPZ via @politicususa
1326143164424491012 2020-11-10 20:42:23 +0800 <albertan48> Donald Trump just got slapped down by Twitter  https://t.co/XnpwQkDb7I via @PalmerReport
1326041806463623168 2020-11-10 13:59:37 +0800 <albertan48> Donald Trump has failed yet again  https://t.co/yKLpWEaTZS via @PalmerReport
1326039363109621760 2020-11-10 13:49:55 +0800 <albertan48> Donald Trump adviser dies six weeks after attending White House super spreader event  https://t.co/AtkYU1OXdm via @PalmerReport
1326038775420473344 2020-11-10 13:47:35 +0800 <albertan48> The countdown to Donald Trump's arrest begins - Palmer Report  https://t.co/B4sxps6bMf
1326034594840207361 2020-11-10 13:30:58 +0800 <albertan48> Member Of Disbanded Trump Voter Fraud Commission Speaks Out : NPR  https://t.co/rDSVHY9tNu
1326004466059862018 2020-11-10 11:31:15 +0800 <albertan48> Report: Trump commission did not find widespread voter fraud | PBS NewsHour  https://t.co/RgR8WgK81H
1325990712014327809 2020-11-10 10:36:36 +0800 <albertan48> Donald Trump's election law firm Jones Day begins revolting against him - Palmer Report  https://t.co/3ua4W1pmyN
1325986466707640320 2020-11-10 10:19:43 +0800 <albertan48> Visualizing the 25 Largest Private Equity Firms in the World  https://t.co/zod2ikOAVe
1325977959123988480 2020-11-10 09:45:55 +0800 <albertan48> After Insider Trading Probe, Loeffler Offers Donors Access In ‘Co-Investor Program’  https://t.co/kCLbGigvNi
1325975342956228608 2020-11-10 09:35:31 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1325972493765468162 2020-11-10 09:24:12 +0800 <albertan48> United States Coronavirus: 10,421,414 Cases and 244,448 Deaths - Worldometer  https://t.co/8HdIx08WiX
1325972114105495554 2020-11-10 09:22:42 +0800 <albertan48> covid 19 usa - Google Search  https://t.co/iwk4Xc4vNe
1325971823729676290 2020-11-10 09:21:32 +0800 <albertan48> Donald Trump has completely whacked out meltdown about coronavirus vaccine - Palmer Report  https://t.co/ZU3ea62xrx
1325971294832091137 2020-11-10 09:19:26 +0800 <albertan48> No, Bill Barr isn't doing anything. Stop falling for it. - Palmer Report  https://t.co/DC43E3kc7s
1325970801204502529 2020-11-10 09:17:29 +0800 <albertan48> Donald Trump sells off his private helicopter after losing the election - Palmer Report  https://t.co/mPLwZQxiiR
1325970277918887936 2020-11-10 09:15:24 +0800 <albertan48> The 8 Types of People You Meet at the Trump Hotel – Mother Jones  https://t.co/fToomKZCsa
1325955919188877312 2020-11-10 08:18:20 +0800 <albertan48> Pennsylvania mailman says he was ordered to collect late ballots - Washington Times  https://t.co/OaU5SPtjxE
1325954204519690240 2020-11-10 08:11:32 +0800 <albertan48> Trump’s $100 Million Mistake: How Retaining Ownership Of His Hotels Cost The President A Fortune  https://t.co/c6MlUknFrC
1325953355538030592 2020-11-10 08:08:09 +0800 <albertan48> Michigan USPS Whistleblower Details Directive From Superiors To Back-Date Late Mail-In-Ballots Nov 3  https://t.co/b5spXL2eef
1325952396258783232 2020-11-10 08:04:20 +0800 <albertan48> How Trump And The GOP Moved $8.1 Million Of Donor Money Into The President’s Business  https://t.co/qZGkgL7euG
1325940316898095104 2020-11-10 07:16:20 +0800 <albertan48> Turns out the election was a blowout - Palmer Report  https://t.co/3LDgmmPT0w
1325939658216255489 2020-11-10 07:13:43 +0800 <albertan48> GOP Senators Kelly Loeffler and David Perdue hit the panic button ahead of Georgia runoff elections  https://t.co/BsmhQ8FXrx via @PalmerReport
1325939345203687424 2020-11-10 07:12:29 +0800 <albertan48> Loeffler reports more stock sales, denies wrongdoing  https://t.co/KD27JtN8aP
1325903123102068737 2020-11-10 04:48:33 +0800 <albertan48> What’s next - Palmer Report  https://t.co/Zv9UQYbUXT
1325902467343683584 2020-11-10 04:45:56 +0800 <albertan48> Donald Trump isn't even trying anymore - Palmer Report  https://t.co/4KP8GSs8zw
1325901929176735744 2020-11-10 04:43:48 +0800 <albertan48> 30 Hilarious Warning Signs from Around the World  https://t.co/RFpPVH3ftY
1325898385358905344 2020-11-10 04:29:43 +0800 <albertan48> Secure Enterprise Messaging - Multi-Device Collaboration and Instant Messaging Solutions for Businesses - Free Version Available  https://t.co/NTLCScQLkH
1325896425641664512 2020-11-10 04:21:56 +0800 <albertan48> U.S. Hits Bleak New Milestone: 10 Million COVID-19 Cases  https://t.co/1dA6d0uu7U
1325896266677514240 2020-11-10 04:21:18 +0800 <albertan48> Salty Donald Trump Jr. Suggests Pfizer Timed Vaccine Announcement to Hurt His Dad  https://t.co/Y19HWavwLI
1325894960973897730 2020-11-10 04:16:07 +0800 <albertan48> Kobach and Trump's Spectacular Voter Fraud Failure - Rolling Stone  https://t.co/R8cubV8u7A
1325894440733401088 2020-11-10 04:14:03 +0800 <albertan48> Report: Trump commission did not find widespread voter fraud  https://t.co/BTN4inOQmd
1325894027443466240 2020-11-10 04:12:24 +0800 <albertan48> Trump again claims massive vote fraud. A massive search for evidence finds none.  https://t.co/pQq3Di9qfv
1325893423195303937 2020-11-10 04:10:00 +0800 <albertan48> Election fraud: Donald Trump falsely claims 'millions' of illegal votes cost him popular vote - CNNPolitics  https://t.co/HvyoUxiIT2
1325893072064950272 2020-11-10 04:08:36 +0800 <albertan48> Fact-Checking Trump’s Claim That Google ‘Manipulated’ Millions of Votes for Clinton - The New York Times  https://t.co/EU7N8hyIw7
1325888399002066944 2020-11-10 03:50:02 +0800 <albertan48> That's a white flag if I've ever seen one - Palmer Report  https://t.co/N631XhvRHM
1325888004385247233 2020-11-10 03:48:28 +0800 <albertan48> Trump Plaza is imploding – literally  https://t.co/6nLK40btWv via @PalmerReport
1325887331589517313 2020-11-10 03:45:48 +0800 <albertan48> Trump administration in full collapse as Donald Trump fires Secretary of Defense Mark Esper - Palmer Report  https://t.co/0ghoULIGzy
1325884398017732609 2020-11-10 03:34:08 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwcslU via @YouTube
1325790259985096704 2020-11-09 21:20:04 +0800 <albertan48> Trump's PA Strategy Is to Use the Courts to Toss Votes Out. It's Not Working.  https://t.co/AImMMUqMKz
1325788437102747648 2020-11-09 21:12:50 +0800 <albertan48> The Top 100 U.S. Colleges, Ranked by Tuition  https://t.co/vKJUyXLSqu via @VisualCap
1325786634936184832 2020-11-09 21:05:40 +0800 <albertan48> From Bean to Brew: The Coffee Supply Chain  https://t.co/ZLDNK9TKJX
1325785500435714049 2020-11-09 21:01:09 +0800 <albertan48> Rest Today. Soon We Begin the Work of Clearing Trump's Wreckage.  https://t.co/vVLGdW0ubm
1325785007143579649 2020-11-09 20:59:12 +0800 <albertan48> Dark Money From Super PAC Played Key Role in Defeat of Several House Democrats  https://t.co/2vfWVihWxy
1325781156474748934 2020-11-09 20:43:54 +0800 <albertan48> 6 Cookbooks That Every Budget-Conscious Foodie Should Check Out  https://t.co/yhWp3wIkVP
1325770754638573568 2020-11-09 20:02:34 +0800 <albertan48> 11 Must-Watch TED Talks on Data Science | Springboard Blog  https://t.co/IR6YktDpxB
1325769532141494273 2020-11-09 19:57:42 +0800 <albertan48> Probably Overthinking It – Data science, Bayesian Statistics, and other ideas  https://t.co/I7Ya6AjHsQ
1325768789028265989 2020-11-09 19:54:45 +0800 <albertan48> DataKind | Blog  https://t.co/ADB1PSSmyf
1325761011584954370 2020-11-09 19:23:51 +0800 <albertan48> How Decentralized Identifiers Will Shape the Future of Identity | Hacker Noon  https://t.co/VeHiF49I6B
1325759134218661888 2020-11-09 19:16:23 +0800 <albertan48> Today would be a good day for New York to indict Donald Trump  https://t.co/7QKhSZqKbX via @PalmerReport
1325552819496083457 2020-11-09 05:36:34 +0800 <albertan48> Trump now facing reality of ‘two avenues’ of criminal charges after loss to Joe Biden: CNN – Raw Story  https://t.co/mNHO91WAFS
1325550559349202944 2020-11-09 05:27:35 +0800 <albertan48> This is just another Donald Trump con game  https://t.co/u15F1DxGrL via @PalmerReport
1325531351718621185 2020-11-09 04:11:16 +0800 <albertan48> Scientists Identify 24 Exoplanets that can Support Life  https://t.co/OXbHx8cKxy
1325458463221141504 2020-11-08 23:21:38 +0800 <albertan48> (13) Jeffrey Lieber on Twitter: "If you wanna know what @Yamiche was asking about, here's Trump ADMITTING to cutting the Pandemic Response Team in 2018. #NastyQuestion  https://t.co/RW35utW6XO" / Twitter  https://t.co/aHQ90h7FWb
1325458157573844993 2020-11-08 23:20:25 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1325327241115361287 2020-11-08 14:40:12 +0800 <albertan48> The balance of power on Twitter just shifted dramatically - Palmer Report  https://t.co/jcJjJcaDUK
1325314684585586688 2020-11-08 13:50:18 +0800 <albertan48> The 88 Books Every Marketer Should Read, According to 159 Marketing Pros | Databox Blog  https://t.co/fzXMLzjnQe
1325312003880099840 2020-11-08 13:39:39 +0800 <albertan48> 17+ Stunning Websites To Find FREE Stock Images For Blogging  https://t.co/gCuEAMPE5L
1325244431486742528 2020-11-08 09:11:08 +0800 <albertan48> Donald Trump's long hard fall has begun - Palmer Report  https://t.co/lekWWggOvG
1325241547357523968 2020-11-08 08:59:41 +0800 <albertan48> Great poetry explained: On the Ning Nang Nong, by Spike Milligan  https://t.co/XEefMN4w0X
1325151490697125888 2020-11-08 03:01:50 +0800 <albertan48> America is back! - Palmer Report  https://t.co/m9qJrHgpcg
1325123484788301828 2020-11-08 01:10:33 +0800 <albertan48> The data is in: Fox News may have kept millions from taking the coronavirus threat seriously - The Washington Post  https://t.co/kn3aeOHHcU
1325123261148012544 2020-11-08 01:09:39 +0800 <albertan48> Fox News Claims It Never Called COVID-19 a Hoax | NowThis - YouTube  https://t.co/JAaeNqyK3c
1325116053437870082 2020-11-08 00:41:01 +0800 <albertan48> Fiddling while Rome was on Fire.
1324949805521530881 2020-11-07 13:40:24 +0800 <albertan48> Looks like Donald Trump’s election night party may have been a super spreader event - Palmer Report  https://t.co/GQFBvavPaG
1324949418144014336 2020-11-07 13:38:52 +0800 <albertan48> Donald Trump is in a confused defeated haze behind the scenes and wants it all to be over with - Palmer Report  https://t.co/P8Str3ZUTw
1324948348562911233 2020-11-07 13:34:37 +0800 <albertan48> Joe Biden hits it out of the park with amazingly Presidential speech  https://t.co/nq8NhJEmrT via @PalmerReport
1324905837295329280 2020-11-07 10:45:41 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1324903708468019200 2020-11-07 10:37:14 +0800 <albertan48> The real reason Joe Biden just decided to speak tonight - Palmer Report  https://t.co/1T4BxFi1yO
1324903377587695616 2020-11-07 10:35:55 +0800 <albertan48> Why Trump must go to prison - Palmer Report  https://t.co/g51pKDdHSV
1324894953072291844 2020-11-07 10:02:26 +0800 <albertan48> Live Election Results 2020  https://t.co/AQzbWIgF13
1324793325765849088 2020-11-07 03:18:36 +0800 <albertan48> Donald Trump's White House handlers are reportedly already looking for new jobs - Palmer Report  https://t.co/awxMBxWpVU
1324791909772976128 2020-11-07 03:12:59 +0800 <albertan48> All of Donald Trump’s Ties to Russia and Putin, in 7 Charts - POLITICO Magazine  https://t.co/Hq6DNtjPam
1324772667686223872 2020-11-07 01:56:31 +0800 <albertan48> Send in Nancy
1324742817764139008 2020-11-06 23:57:54 +0800 <albertan48> Fact check: False election claims from Trump and his allies broken down - CNNPolitics  https://t.co/k8x2u4Opzk
1324634351837958147 2020-11-06 16:46:54 +0800 <albertan48> USPS worker arrested at Canadian border with undelivered ballots  https://t.co/ceCTnn8PJk
1324632868753010688 2020-11-06 16:41:01 +0800 <albertan48> Counties with overwhelming Trump votes had worst COVID-19 surges in US  https://t.co/fKvOQOkBIr
1324543303187009536 2020-11-06 10:45:06 +0800 <albertan48> Coronavirus World Map: Tracking The Spread Of The Outbreak : Goats and Soda : NPR  https://t.co/bLBZ02Rot6
1324542902391853056 2020-11-06 10:43:31 +0800 <albertan48> Coronavirus Update: Maps And Charts For U.S. Cases And Deaths : Shots - Health News : NPR  https://t.co/5LNJGbDV4V
1324535936500211712 2020-11-06 10:15:50 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwcslU via @YouTube
1324533971573633025 2020-11-06 10:08:02 +0800 <albertan48> US coronavirus: More than 114,000 new infections are reported, breaking a new daily record - CNN  https://t.co/3YqHxtKqoq
1324370543131258881 2020-11-05 23:18:37 +0800 <albertan48> The data is in: Fox News may have kept millions from taking the coronavirus threat seriously - The Washington Post  https://t.co/kn3aeOHHcU
1324370322158571524 2020-11-05 23:17:45 +0800 <albertan48> Fox News’ COVID Denial Hasn’t Aged Well  https://t.co/NKxb13ueKb via @VanityFair
1324369649161568256 2020-11-05 23:15:04 +0800 <albertan48> Fox News Claims It Never Called COVID-19 a Hoax | NowThis  https://t.co/XkqJkMUGyJ via @YouTube
1324187562311704576 2020-11-05 11:11:31 +0800 <albertan48> Donald Trump feels like he's "starting to see this slip away" - Palmer Report  https://t.co/DjaOkcXn20
1324186778576670721 2020-11-05 11:08:24 +0800 <albertan48> Donald Trump’s stomach-churning arrogance - Palmer Report  https://t.co/C7if1x2kcm
1324184684557815814 2020-11-05 11:00:05 +0800 <albertan48> Donald Trump is crashing and burning - Palmer Report  https://t.co/Lo0FPkQ0X3
1324181240921010176 2020-11-05 10:46:24 +0800 <albertan48> Joe Biden has won Michigan! - Palmer Report  https://t.co/sggQIyuy88
1324080297319620608 2020-11-05 04:05:17 +0800 <albertan48> Joe Biden wins Wisconsin as Donald Trump freaks out - Palmer Report  https://t.co/r28rVAAZh8
1323836015300149249 2020-11-04 11:54:36 +0800 <albertan48> Trump Accuses New Zealand’s Prime Minister of Competently Handling the Coronavirus to Get Reëlected | The New Yorker  https://t.co/c5oObOCy0h
1323835715541626881 2020-11-04 11:53:24 +0800 <albertan48> Trump Orders Bill Barr to Investigate Reports That Women Are Voting | The New Yorker  https://t.co/WSk1cmV9KL
1323835310514434049 2020-11-04 11:51:48 +0800 <albertan48> The Value of a Hacked Email Account — Krebs on Security  https://t.co/uQHSTM1fYR
1323834867444973568 2020-11-04 11:50:02 +0800 <albertan48> Two Charged in SIM Swapping, Vishing Scams — Krebs on Security  https://t.co/H5uMIbeHMu
1323834377025933312 2020-11-04 11:48:05 +0800 <albertan48> Democrats projected to retain House majority | TheHill  https://t.co/XdqIuUfaJ0
1323822619230044160 2020-11-04 11:01:22 +0800 <albertan48> Congresswoman whisked from NC polling precinct after ‘maskless white man’ shows up with gun – Raw Story  https://t.co/zowWgN7wCY
1323812347442470912 2020-11-04 10:20:33 +0800 <albertan48> United States Coronavirus: 9,692,528 Cases and 238,641 Deaths - Worldometer  https://t.co/8HdIx08WiX
1323811572184084480 2020-11-04 10:17:28 +0800 <albertan48> covid 19 usa - Google Search  https://t.co/HVIcLfv5Rl
1323811357460848640 2020-11-04 10:16:37 +0800 <albertan48> Gottlieb pushes back on Trump's comments of 'rounding the corner' on virus: 'Things are getting worse' | TheHill  https://t.co/sfiioi8dYw
1323770215579017217 2020-11-04 07:33:08 +0800 <albertan48> (11) Home / Twitter  https://t.co/ShQpjw2P7G
1323752611070111744 2020-11-04 06:23:11 +0800 <albertan48> Throw the GOP's Benghazi playbook at Trump's catastrophic coronavirus response | TheHill  https://t.co/y1fSfgL1b0
1323750245306544129 2020-11-04 06:13:47 +0800 <albertan48> WATCH: Florida deputies caught on tape beating Biden supporter at political rally – Raw Story  https://t.co/LnllQ2ckMt
1323749937591459840 2020-11-04 06:12:33 +0800 <albertan48> ‘Armed individuals’ turned people away from Oregon ballot box: legal watchdog – Raw Story  https://t.co/COegzs823Z
1323749689963941888 2020-11-04 06:11:34 +0800 <albertan48> GOP governor breaks with Trump — and announces he voted for Joe Biden – Raw Story  https://t.co/JGUUt0lBZR
1323691420289413123 2020-11-04 02:20:02 +0800 <albertan48> BOYCOTT FOX NEWS SPONSORS: USE "MESSAGED" BOYCOTT  https://t.co/h2Dw23DVEF
1323691085491679232 2020-11-04 02:18:42 +0800 <albertan48> These are Fox News' leading advertisers | Media Matters for America  https://t.co/gQoX00GXa7
1323690379258912768 2020-11-04 02:15:54 +0800 <albertan48> The data is in: Fox News may have kept millions from taking the coronavirus threat seriously - The Washington Post  https://t.co/kn3aeOHHcU
1323689967130869760 2020-11-04 02:14:15 +0800 <albertan48> Fox News Claims It Never Called COVID-19 a Hoax | NowThis  https://t.co/XkqJkMUGyJ via @YouTube
1323688819795783682 2020-11-04 02:09:42 +0800 <albertan48> 2020 Presidential Election Polls: Biden vs. Trump  https://t.co/PBSQGp8vFa
1323688013356912641 2020-11-04 02:06:29 +0800 <albertan48> The buzzards are already circling Donald Trump, as Deutsche Bank eyes seizing his assets if he loses - Palmer Report  https://t.co/BaA20fGQxk
1323687755994394626 2020-11-04 02:05:28 +0800 <albertan48> Donald Trump admits he's afraid he'll go to prison if he loses - Palmer Report  https://t.co/xrDnq8XRwd
1323687502914285568 2020-11-04 02:04:28 +0800 <albertan48> As Election Day Arrives, Trump Shifts Between Combativeness and Grievance - The New York Times  https://t.co/jnsHRLzbmS
1323686734517858305 2020-11-04 02:01:25 +0800 <albertan48> Exclusive: Tired of Trump, Deutsche Bank games ways to sever ties with the president - sources | Reuters  https://t.co/4Lpdl6o8JV
1323667102444613632 2020-11-04 00:43:24 +0800 <albertan48> Trump Said U.S. Was ‘Rounding The Final Turn’ On Aug. 31 – And On 39 Of The 57 Days Since  https://t.co/p0AlubqGqK
1323666726324613121 2020-11-04 00:41:54 +0800 <albertan48> ‘This is unreal’: Raging Trump supporter accuses random people of being ‘antifa’ near Brooklyn polling place – Raw Story  https://t.co/eBBQokRrTE
1323665392074567680 2020-11-04 00:36:36 +0800 <albertan48> Trump Said U.S. Was ‘Rounding The Final Turn’ On Aug. 31 – And On 39 Of The 57 Days Since via @forbes  https://t.co/s8oxPeciWZ
1323660143041552384 2020-11-04 00:15:45 +0800 <albertan48> United States Coronavirus: 9,574,648 Cases and 237,104 Deaths - Worldometer  https://t.co/8HdIx08WiX
1323659962837471232 2020-11-04 00:15:02 +0800 <albertan48> covid 19 usa - Google Search  https://t.co/iXfNmKKvMP
1323657916809838598 2020-11-04 00:06:54 +0800 <albertan48> It's finally happening - Palmer Report  https://t.co/mSlItMxyKc
1323513072598753280 2020-11-03 14:31:20 +0800 <albertan48> Looks like it just hit Donald Trump that he’s going to lose tomorrow  https://t.co/epESMbAr96 via @PalmerReport
1323505269163257857 2020-11-03 14:00:20 +0800 <albertan48> Biden wins midnight election in tiny Dixville Notch township  https://t.co/D0PupnzBfV
1323504565153525767 2020-11-03 13:57:32 +0800 <albertan48> Road to 270: Combination Detail  https://t.co/pkFMJCSSXG
1323471911603429376 2020-11-03 11:47:47 +0800 <albertan48> President—Forecasting the US 2020 elections | The Economist  https://t.co/830uwqI45o
1323471515044642816 2020-11-03 11:46:12 +0800 <albertan48> What Trump Needs to Win: A Polling Error Much Bigger Than 2016’s - The New York Times  https://t.co/xMG88hvOMj
1323471084230832128 2020-11-03 11:44:30 +0800 <albertan48> Electoral College outlook: A remarkably stable race comes to an end - CNNPolitics  https://t.co/WbKs2Wo08f
1323469036991049733 2020-11-03 11:36:21 +0800 <albertan48> Election 2020 updates: Biden, Trump in Florida today for events  https://t.co/xMXiMNsIqF
1323467285198110722 2020-11-03 11:29:24 +0800 <albertan48> 2020 Election Forecast | FiveThirtyEight  https://t.co/3oGZj5E0lv
1323464291807236096 2020-11-03 11:17:30 +0800 <albertan48> Covid-19 cases, deaths rising rapidly ahead of Election Day  https://t.co/iNLCZlWDqg
1323462479649755136 2020-11-03 11:10:18 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwcslU via @YouTube
1323450715608477696 2020-11-03 10:23:33 +0800 <albertan48> covid 19 canada - Google Search  https://t.co/rcFlckutxt
1323450327979405315 2020-11-03 10:22:01 +0800 <albertan48> covid 19 usa - Google Search  https://t.co/RAgqnq5wMJ
1323449918267170816 2020-11-03 10:20:23 +0800 <albertan48> “We don’t want the socialized healthcare they have in Canada:” Mike Pence blasts Canadian-style healthcare | Watch News Videos Online  https://t.co/srIKfF2MpV
1323445682741469185 2020-11-03 10:03:33 +0800 <albertan48> Twitter cracks down on Donald Trump after he has violent meltdown - Palmer Report  https://t.co/KjCTVr7d6Q
1323445310903918595 2020-11-03 10:02:05 +0800 <albertan48> Joe Biden for the win - Palmer Report  https://t.co/LQNhWXL1vm
1323444923748642817 2020-11-03 10:00:32 +0800 <albertan48> Donald Trump's closing message lands with a thud - Palmer Report  https://t.co/AzUF8ujq60
1323444516456550401 2020-11-03 09:58:55 +0800 <albertan48> Now is not the time - Palmer Report  https://t.co/509aqYuFlu
1323444115443314688 2020-11-03 09:57:20 +0800 <albertan48> Trump plans to fire heads of FBI, CIA and Pentagon if he wins re-election - Axios  https://t.co/EpMDvbzwQG
1323443253157400576 2020-11-03 09:53:54 +0800 <albertan48> Donald Trump goes bonkers after FBI begins investigating Biden campaign bus incident - Palmer Report  https://t.co/EOuMebGcGq
1323442115406254080 2020-11-03 09:49:23 +0800 <albertan48> James Carville is right - Palmer Report  https://t.co/1GKOP3JJWS
1323441727668068353 2020-11-03 09:47:50 +0800 <albertan48> We just won big in court - Palmer Report  https://t.co/fs4eX2i0Cz
1323438655940165633 2020-11-03 09:35:38 +0800 <albertan48> Goodbye Donald Trump - Palmer Report  https://t.co/8sZrq0zQmx
1323432499062530048 2020-11-03 09:11:10 +0800 <albertan48> Donald Trump has berserk meltdown about Lady Gaga as it all goes wrong for him - Palmer Report  https://t.co/jKR5wMQzHF
1323431643277791232 2020-11-03 09:07:46 +0800 <albertan48> President Trump's worst offenses - CREW | Citizens for Responsibility and Ethics in Washington  https://t.co/nCIgYnecTF
1323431104078966786 2020-11-03 09:05:38 +0800 <albertan48> (6) 'Covid, covid covid' - Trump says opponents are using the pandemic to make him look bad | Campaign 2 - YouTube  https://t.co/7SUi0rPEry
1323430484177682432 2020-11-03 09:03:10 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1323428399570808832 2020-11-03 08:54:53 +0800 <albertan48> Covid-19 News: Live Updates - The New York Times  https://t.co/qNXRcglgZX
1323427778088235008 2020-11-03 08:52:25 +0800 <albertan48> Final Benghazi report: No 'smoking gun' pointing to Clinton - Japan Today  https://t.co/ywhx0EA144
1323427013173014528 2020-11-03 08:49:22 +0800 <albertan48> Trump’s latest smear campaign backfires as the man he cited to trash Biden corrects him in real time – Raw Story  https://t.co/QlOMzI2eu4
1323425644714160129 2020-11-03 08:43:56 +0800 <albertan48> Trump is ‘a ball of volatility’ behind the scenes: sources tell Maggie Haberman – Raw Story  https://t.co/Q9FmGAJs4p
1323388709757091840 2020-11-03 06:17:10 +0800 <albertan48> This Is How Jaime Harrison Pulls Off a Miracle and Ousts Lindsey Graham  https://t.co/Trz7PKcRNE
1323387131000057856 2020-11-03 06:10:54 +0800 <albertan48> Live 2020 election polls: Who is leading the presidential race?  https://t.co/YQk6eco08g
1323386737318453249 2020-11-03 06:09:20 +0800 <albertan48> Election 2020 live updates: Harris County, Texas drive-through ballots are valid, federal judge says - The Washington Post  https://t.co/a6Vek64by7
1323380371749138432 2020-11-03 05:44:02 +0800 <albertan48> Fact Check - CNN  https://t.co/c6zmSbMSfU
1323379111029403648 2020-11-03 05:39:01 +0800 <albertan48> Latest Presidential Polls 2020: National and by State  https://t.co/yS2REyV30Z
1323377806160523264 2020-11-03 05:33:50 +0800 <albertan48> National President: general election Polls | FiveThirtyEight  https://t.co/QUwCfuzmbZ
1323360021808246785 2020-11-03 04:23:10 +0800 <albertan48> Who wins 2020? Predictions for Every Election &amp; Key Races  https://t.co/9fElmHqsac
1323358555810877440 2020-11-03 04:17:21 +0800 <albertan48> Sabato's Crystal Ball: Final Election Forecast  https://t.co/Teeroa8NOx
1323353674358251520 2020-11-03 03:57:57 +0800 <albertan48> The data is in: Fox News may have kept millions from taking the coronavirus threat seriously - The Washington Post  https://t.co/kn3aeOHHcU
1323352855424585728 2020-11-03 03:54:42 +0800 <albertan48> Fox News Claims It Never Called COVID-19 a Hoax | NowThis  https://t.co/XkqJkMUGyJ via @YouTube
1323350795023245319 2020-11-03 03:46:30 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwu3Ku via @YouTube
1323296777009721346 2020-11-03 00:11:51 +0800 <albertan48> Trump Records Shed New Light on Chinese Business Pursuits - The New York Times  https://t.co/yTvWernABE
1323295345288257537 2020-11-03 00:06:10 +0800 <albertan48> Charting an Empire: A Timeline of Trump’s Finances - The New York Times  https://t.co/LVyKW51zLu
1323287498873737217 2020-11-02 23:34:59 +0800 <albertan48> Early Voting Is at Unprecedented Levels. It Could Define the 2020 Election.  https://t.co/pSNesWftgp via @truthout
1323286799779733504 2020-11-02 23:32:13 +0800 <albertan48> Trump's Rallies Are Connected to at Least 700 COVID Deaths and 30,000 Infections  https://t.co/RbELev1JaM
1323286487316639744 2020-11-02 23:30:58 +0800 <albertan48> Youth Activists Are Transforming the Election by Leading Protesters to the Polls  https://t.co/eMFks35ZUQ
1323284595073114112 2020-11-02 23:23:27 +0800 <albertan48> Here's where Trump and Biden are campaigning today  https://t.co/FcmrOFzmiw
1323273671985651712 2020-11-02 22:40:03 +0800 <albertan48> Leave it all on the field - Palmer Report  https://t.co/0AeL8Zz4BO
